File_Name,Channel_1_mean,Channel_1_std,Channel_1_max,Channel_1_min,Channel_1_rms,Channel_1_peak_to_peak,Channel_2_mean,Channel_2_std,Channel_2_max,Channel_2_min,Channel_2_rms,Channel_2_peak_to_peak,Channel_3_mean,Channel_3_std,Channel_3_max,Channel_3_min,Channel_3_rms,Channel_3_peak_to_peak,Channel_4_mean,Channel_4_std,Channel_4_max,Channel_4_min,Channel_4_rms,Channel_4_peak_to_peak,Channel_5_mean,Channel_5_std,Channel_5_max,Channel_5_min,Channel_5_rms,Channel_5_peak_to_peak,Channel_6_mean,Channel_6_std,Channel_6_max,Channel_6_min,Channel_6_rms,Channel_6_peak_to_peak,Channel_7_mean,Channel_7_std,Channel_7_max,Channel_7_min,Channel_7_rms,Channel_7_peak_to_peak,Channel_8_mean,Channel_8_std,Channel_8_max,Channel_8_min,Channel_8_rms,Channel_8_peak_to_peak
2003.10.22.12.54,-0.09535458984375,0.08103763321143738,0.288,-0.557,0.12513830668816506,0.845,-0.09566308593749999,0.07127983452019926,0.342,-0.513,0.11929895565474369,0.855,-0.09481127929687501,0.08932207884538872,0.356,-0.598,0.1302597883123256,0.954,-0.094445751953125,0.0765797900535736,0.247,-0.442,0.12159138253445688,0.6890000000000001,-0.09345493164062499,0.0910963106420506,0.391,-0.464,0.13050809193512436,0.855,-0.09446386718750001,0.09299938603988125,0.295,-0.664,0.13256058240597957,0.9590000000000001,-0.115056298828125,0.05868159418810618,0.227,-0.388,0.12915680933069063,0.615,-0.092962255859375,0.06527337263378707,0.305,-0.466,0.11358958662418456,0.771
2003.10.22.12.59,-0.09508901367187501,0.08085373583236953,0.356,-0.557,0.12481685430718331,0.913,-0.095622021484375,0.07055950124700501,0.437,-0.491,0.1188369227512408,0.9279999999999999,-0.094641552734375,0.09010842146588403,0.259,-0.535,0.13067727852632557,0.794,-0.095257861328125,0.07672991365897386,0.305,-0.581,0.1223173732342298,0.8859999999999999,-0.093066015625,0.09279115251836921,0.378,-0.588,0.1314210076433749,0.966,-0.09431865234375,0.09498893553854745,0.322,-0.64,0.13386151819954642,0.962,-0.07744228515625,0.059235889579792006,0.261,-0.391,0.09749973407415659,0.652,-0.09254765625000001,0.0663018419979365,0.347,-0.54,0.11384640060049109,0.887
2003.10.22.13.04,-0.09498481445312501,0.07993186010367544,0.354,-0.552,0.12414192376601921,0.906,-0.09543662109375,0.06996898787580283,0.535,-0.491,0.11833768592530552,1.026,-0.09476684570312499,0.08861727688278806,0.264,-0.598,0.12974504540305432,0.862,-0.095297998046875,0.0757993394382394,0.247,-0.579,0.12176718889346023,0.826,-0.092808203125,0.09067546941163988,0.427,-0.544,0.1297513133664261,0.9710000000000001,-0.093078759765625,0.0940320652487554,0.354,-0.784,0.13230905038754198,1.138,-0.091821240234375,0.05923907820639234,0.247,-0.405,0.109272176444518,0.652,-0.092726416015625,0.06557107833422346,0.413,-0.442,0.11356828140381287,0.855
2003.10.22.13.09,-0.0953294921875,0.07999905656997384,0.42,-0.623,0.12444903026063521,1.043,-0.095305078125,0.07028821312211704,0.405,-0.483,0.11842082089021551,0.888,-0.095287109375,0.08840862265862016,0.305,-0.583,0.12998352885438025,0.8879999999999999,-0.09535351562500001,0.0761799398124459,0.22,-0.54,0.12204784378216192,0.76,-0.09402192382812499,0.0921070764546223,0.4,-0.652,0.13162004290137339,1.052,-0.09474892578125,0.09507319368281039,0.43,-0.583,0.1342247037387306,1.013,-0.091427685546875,0.05820683121685434,0.225,-0.374,0.10838384051492927,0.599,-0.09365859374999999,0.06623443319747827,0.317,-0.525,0.1147123895846423,0.8420000000000001
2003.10.22.13.14,-0.09557792968750001,0.08005853620902993,0.283,-0.688,0.12467762374733186,0.9709999999999999,-0.09527211914062501,0.07052151865743839,0.432,-0.552,0.11853295440212766,0.984,-0.09460292968749999,0.08900871210876315,0.398,-0.569,0.12989328364745711,0.967,-0.09469956054687499,0.07514120639332576,0.227,-0.513,0.12088923718022059,0.74,-0.0930087890625,0.09237205636853811,0.376,-0.576,0.13108482612653916,0.952,-0.092649609375,0.09513297683294375,0.352,-0.562,0.13279395091056484,0.914,-0.091812060546875,0.058679755887593665,0.31,-0.408,0.10896223296578784,0.718,-0.0927849609375,0.06540496332046673,0.337,-0.454,0.11352029863916409,0.791
2003.10.22.13.19,-0.09571601562500001,0.08580673470108426,0.378,-0.588,0.12854707840782498,0.966,-0.09517177734375,0.07817703319957801,0.598,-0.461,0.1231637760165555,1.059,-0.09467880859375,0.08969405496596082,0.229,-0.632,0.13041894146545108,0.861,-0.095047998046875,0.0760426239366572,0.266,-0.598,0.12172346769580066,0.864,-0.092300537109375,0.09210418247505926,0.427,-0.547,0.13039390162150272,0.974,-0.09116142578125,0.09526511176628172,0.483,-0.708,0.13185540212790867,1.1909999999999998,-0.09264643554687499,0.05896280807694043,0.244,-0.417,0.10981791637005035,0.661,-0.092947265625,0.06579584719530704,0.43,-0.574,0.11387838993993768,1.004
2003.10.22.13.24,-0.095774072265625,0.08282983180435033,0.437,-0.613,0.1266232757240079,1.05,-0.09507109375,0.07077693091385752,0.515,-0.464,0.11852378164911147,0.9790000000000001,-0.0955197265625,0.09035157514063594,0.264,-0.581,0.1314816538265653,0.845,-0.09527041015625001,0.07612516050519136,0.217,-0.562,0.12194872329500317,0.779,-0.09309150390625001,0.09162187561864737,0.398,-0.54,0.13061621718380245,0.9380000000000001,-0.09363442382812501,0.09540875875222715,0.405,-0.649,0.1336796041745547,1.054,-0.093312109375,0.05954014902190401,0.247,-0.376,0.11068956184556203,0.623,-0.09185107421875001,0.06573425569589215,0.3,-0.449,0.11294960029602251,0.749
2003.10.22.13.29,-0.09572163085937499,0.08397073174576021,0.369,-0.518,0.12733308448434316,0.887,-0.095920849609375,0.07268609020868462,0.532,-0.486,0.12034981138169422,1.018,-0.09525107421875,0.0909934710098707,0.342,-0.808,0.13172918775370174,1.1500000000000001,-0.095522509765625,0.07656363953966956,0.303,-0.615,0.12241952773754837,0.9179999999999999,-0.09359721679687501,0.09230473965597275,0.315,-0.54,0.1314557110021399,0.855,-0.093560888671875,0.09482510218031477,0.366,-0.51,0.1332120110672387,0.876,-0.094391748046875,0.060443056559063464,0.312,-0.415,0.11208552620899308,0.727,-0.092665625,0.06686072869043251,0.315,-0.522,0.11426843438875083,0.837
2003.10.22.13.34,-0.094564599609375,0.08314437524862532,0.33,-0.645,0.12591842849545745,0.9750000000000001,-0.095070263671875,0.07165901511869975,0.483,-0.513,0.11905196127079082,0.996,-0.09545927734375,0.09007715606517708,0.249,-0.557,0.13124925781040153,0.806,-0.09578916015625,0.0776899868849602,0.256,-0.464,0.12333408801148611,0.72,-0.09275063476562499,0.09262395924783992,0.315,-0.542,0.13107966309146463,0.857,-0.09306298828125001,0.09608036511077679,0.361,-0.598,0.13376156528560904,0.959,-0.0923529296875,0.06004357834115719,0.259,-0.449,0.1101557757081988,0.708,-0.092735546875,0.06643070789374013,0.347,-0.515,0.11407418904146875,0.862
2003.10.22.13.39,-0.09601630859375,0.08215099312564499,0.291,-0.601,0.12636422431804026,0.8919999999999999,-0.09567958984375,0.07175339967329439,0.488,-0.474,0.11959571178492877,0.962,-0.094619873046875,0.09000474806042946,0.273,-0.51,0.1305901031810149,0.783,-0.094947705078125,0.07712675272526565,0.271,-0.466,0.12232580547679575,0.7370000000000001,-0.09285986328125,0.09318304498898289,0.334,-0.493,0.13155240051793526,0.827,-0.092909912109375,0.09558356812496636,0.393,-0.566,0.13329842558587057,0.959,-0.015860693359375,0.06018749819823884,0.271,-0.312,0.0622422407469648,0.583,-0.092426123046875,0.06540568047417247,0.347,-0.508,0.11322760820473789,0.855
2003.10.22.13.44,-0.095293115234375,0.08311305818510863,0.33,-0.615,0.12644587083789305,0.9450000000000001,-0.094702685546875,0.07125172580568023,0.574,-0.466,0.11851332026434044,1.04,-0.095977880859375,0.09020023054749773,0.281,-0.667,0.131711181017703,0.9480000000000001,-0.09616279296875,0.0766227521999786,0.273,-0.461,0.1229566139182842,0.734,-0.0925091796875,0.09289593268956713,0.342,-0.557,0.13110149746177102,0.899,-0.092468798828125,0.09484486512484148,0.437,-0.74,0.1324614177685926,1.177,-0.092826416015625,0.06068119975219667,0.208,-0.378,0.11090063802193328,0.586,-0.09245209960937499,0.06617839770453858,0.271,-0.53,0.11369683832421144,0.801
2003.10.22.13.49,-0.09546318359375001,0.08409170154986895,0.359,-0.574,0.12721884173111406,0.9329999999999999,-0.0957056640625,0.07383331024878538,0.515,-0.508,0.12087568753036114,1.0230000000000001,-0.094673193359375,0.09105221922146664,0.359,-0.593,0.13135265572502,0.952,-0.094673486328125,0.07759536521774482,0.261,-0.508,0.12240959814000238,0.769,-0.09299067382812501,0.09130628647651756,0.349,-0.559,0.13032307304978893,0.908,-0.09248310546875001,0.0960915752178934,0.344,-0.603,0.1333668460487838,0.947,-0.092206005859375,0.061457859141510765,0.244,-0.435,0.11081072135311129,0.679,-0.09343740234375,0.06556965663015121,0.31,-0.527,0.11414871014314508,0.837
2003.10.22.13.54,-0.094581591796875,0.08368681841935253,0.381,-0.591,0.12628998805916633,0.972,-0.0952634765625,0.07216239494475993,0.349,-0.557,0.11950958627213759,0.906,-0.09502216796874999,0.0915411797745619,0.364,-0.544,0.13194316958448438,0.908,-0.09459218750000001,0.07681393914881982,0.237,-0.652,0.12185262895643142,0.889,-0.092617333984375,0.09277409191780651,0.596,-0.454,0.13109158129165607,1.05,-0.093385888671875,0.09522096201735751,0.332,-0.608,0.1333714954949028,0.94,-0.0893546875,0.060268332090969164,0.247,-0.381,0.10778001684565651,0.628,-0.09289931640625,0.06614226735441339,0.332,-0.569,0.1140398286544278,0.901
2003.10.22.13.59,-0.094910595703125,0.08551124038090592,0.33,-0.635,0.12775051235984583,0.9650000000000001,-0.09577880859374999,0.07349764957010906,0.32,-0.522,0.12072897194944034,0.8420000000000001,-0.09407084960937499,0.09171415506942467,0.339,-0.645,0.13138040564075043,0.984,-0.09493271484375002,0.07759132827003123,0.249,-0.542,0.12260764482817742,0.791,-0.09259809570312501,0.0927777873126929,0.344,-0.522,0.13108060553142245,0.866,-0.09259833984375,0.09693586745672436,0.435,-0.713,0.13405601419334476,1.148,-0.132762109375,0.06175453274295367,0.359,-0.452,0.1464219928835829,0.8109999999999999,-0.093603564453125,0.06761331574335265,0.281,-0.488,0.11546942341650722,0.769
2003.10.22.14.04,-0.093411767578125,0.08395173422796863,0.398,-0.51,0.12559320046066635,0.908,-0.093835986328125,0.07276061660012965,0.491,-0.469,0.11874047186281148,0.96,-0.094018212890625,0.09143929963587862,0.288,-0.505,0.1311509430886674,0.7929999999999999,-0.09403515625,0.07837306388641659,0.227,-0.432,0.12241302117792148,0.659,-0.092031298828125,0.09421113644027299,0.43,-0.498,0.13170230899023516,0.9279999999999999,-0.091671875,0.09719898671065519,0.378,-0.605,0.13360904042613939,0.983,-0.229082763671875,0.06175658125179043,0.176,-0.662,0.23726101226171387,0.8380000000000001,-0.09209165039062499,0.06664058688898998,0.271,-0.452,0.11367427102285779,0.7230000000000001
2003.10.22.14.09,-0.0947822265625,0.08273517992127001,0.361,-0.623,0.12581248137108655,0.984,-0.09408549804687501,0.07167955468070798,0.547,-0.596,0.11827949738628891,1.143,-0.0952541015625,0.09121744165928293,0.356,-0.527,0.13188618398961943,0.883,-0.09453515625,0.07707109538930167,0.291,-0.522,0.12197069119964334,0.813,-0.09249042968750001,0.09301838489212962,0.471,-0.505,0.13117507199052245,0.976,-0.0920986328125,0.09664173901988234,0.388,-0.591,0.13349825424595915,0.979,-0.084172607421875,0.0606402505112614,0.315,-0.444,0.10374135059013656,0.759,-0.09758686523437501,0.06618041358235122,0.266,-0.479,0.11791116744483164,0.745
2003.10.22.14.14,-0.09542309570312499,0.0834282540744838,0.393,-0.562,0.12675109771313373,0.9550000000000001,-0.09515541992187501,0.07164175615873232,0.591,-0.483,0.11910959308979115,1.0739999999999998,-0.09460869140625,0.09048207966700206,0.286,-0.535,0.1309114633271997,0.821,-0.09419545898437501,0.07688629127497179,0.254,-0.479,0.12159065046004515,0.733,-0.09308271484375,0.09316358729728248,0.354,-0.566,0.13169603563046706,0.9199999999999999,-0.092520068359375,0.09681733509348779,0.388,-0.598,0.13391624032890156,0.986,-0.092835205078125,0.05988315560368875,0.278,-0.391,0.11047337972087722,0.669,-0.0930236328125,0.06578142538638984,0.266,-0.522,0.11393240183328007,0.788
2003.10.22.14.19,-0.09528730468749999,0.08227769869235704,0.295,-0.527,0.12589396386133353,0.8220000000000001,-0.094668212890625,0.07173733640784398,0.474,-0.613,0.11877843224591271,1.087,-0.09590766601562499,0.09136949431847291,0.315,-0.664,0.1324638248450426,0.9790000000000001,-0.09545146484375,0.07785733577629252,0.259,-0.435,0.12317770445579833,0.694,-0.093227001953125,0.09403236167606821,0.396,-0.513,0.1324135904488164,0.909,-0.092605517578125,0.09659084989795595,0.408,-0.562,0.13381171163213584,0.97,-0.094909716796875,0.060168811215478235,0.249,-0.415,0.11237499804470244,0.6639999999999999,-0.09241318359375,0.06644889720284383,0.415,-0.537,0.11382289945967045,0.952
2003.10.22.14.24,-0.09537524414062501,0.08492717849377225,0.417,-0.745,0.12770694124360224,1.162,-0.09468134765625,0.0732263361929731,0.342,-0.483,0.11969400112892041,0.825,-0.095247216796875,0.09071388349776438,0.288,-0.632,0.13153342148213462,0.9199999999999999,-0.095021923828125,0.07591858662235741,0.222,-0.527,0.12162564615546499,0.749,-0.09268159179687499,0.09333106256366665,0.5,-0.583,0.131531611019046,1.083,-0.09361591796875,0.09617379359650564,0.391,-0.62,0.1342137797391721,1.0110000000000001,-0.09155068359375,0.06004138440550463,0.244,-0.469,0.10948285485779269,0.713,-0.09261298828125,0.06512744062767091,0.249,-0.479,0.11321991486083069,0.728
2003.10.22.14.29,-0.096523095703125,0.08311948262814049,0.3,-0.574,0.12737957605709158,0.8739999999999999,-0.095546533203125,0.07293218223634033,0.762,-0.464,0.12020084530855274,1.226,-0.094282421875,0.09079352070465724,0.256,-0.522,0.13089170514804405,0.778,-0.094842724609375,0.07610963592389028,0.271,-0.483,0.1216051770764587,0.754,-0.09326479492187499,0.09208561398813184,0.295,-0.505,0.13106518330735523,0.8,-0.093382958984375,0.09619920774586406,0.422,-0.627,0.13406962593969365,1.049,-0.09354716796875,0.061207377722646505,0.31,-0.386,0.11179184103795879,0.696,-0.09508891601562501,0.06617156880239647,0.334,-0.515,0.11584722036715803,0.849
2003.10.22.14.34,-0.09582802734375,0.0815308380572146,0.278,-0.605,0.12581847391741108,0.883,-0.09445839843750001,0.0715510732400989,0.532,-0.532,0.11849871356764806,1.064,-0.09585791015625,0.09058984353603088,0.261,-0.657,0.13189108647443257,0.918,-0.09519580078125,0.07693628808158613,0.242,-0.547,0.12239866384138452,0.789,-0.09281860351562501,0.09278450311955969,0.388,-0.544,0.13124121752610488,0.932,-0.093002880859375,0.09573334722549674,0.432,-0.603,0.13347063204743065,1.035,-0.093346826171875,0.06130870412788773,0.52,-0.498,0.11167984221963749,1.018,-0.09371806640625,0.06778039134549693,0.432,-0.625,0.11566009433627054,1.057
2003.10.22.14.39,-0.09548857421875,0.08289566794460838,0.386,-0.542,0.12645062107523436,0.928,-0.0945583984375,0.07187197145639423,0.359,-0.493,0.11877234945934913,0.852,-0.094769140625,0.09139000456514774,0.305,-0.542,0.13165607828436465,0.847,-0.09472636718750001,0.07626240247549197,0.21,-0.476,0.12161019148029904,0.6859999999999999,-0.09303359375,0.09240431782926169,0.435,-0.586,0.13112515975026018,1.021,-0.092951123046875,0.09567625058234973,0.349,-0.657,0.13339361379455866,1.006,-0.093512158203125,0.060585288609761506,0.349,-0.581,0.11142307179275923,0.9299999999999999,-0.09432294921875,0.06602727227646814,0.376,-0.537,0.11513652519332755,0.913
2003.10.22.14.44,-0.095424951171875,0.08380052832387691,0.391,-0.623,0.1269978340504893,1.014,-0.09545639648437501,0.07238293183748276,0.435,-0.562,0.11979654607363217,0.9970000000000001,-0.094969091796875,0.09192799317644547,0.332,-0.508,0.1321736899922669,0.8400000000000001,-0.09490488281250001,0.07706282970571411,0.234,-0.53,0.1222522658436491,0.764,-0.0923048828125,0.09385318288207195,0.435,-0.657,0.1316381833972385,1.092,-0.092650634765625,0.09638107888875874,0.41,-0.742,0.13369163208755577,1.152,-0.092761181640625,0.060736874441833934,0.386,-0.532,0.11087652924008816,0.918,-0.09310166015625,0.06674263197556066,0.349,-0.544,0.11455347243481971,0.893
2003.10.22.14.49,-0.094576025390625,0.08352093546857717,0.349,-0.728,0.12617595349445304,1.077,-0.0952033203125,0.07197159656164212,0.464,-0.525,0.11934648260487718,0.9890000000000001,-0.094989404296875,0.08975710950164588,0.334,-0.483,0.13068789398703165,0.817,-0.09515478515625,0.07569641750827218,0.227,-0.496,0.12159103898609779,0.723,-0.09336396484375001,0.09232623961680674,0.459,-0.554,0.13130485312099094,1.0130000000000001,-0.093172509765625,0.09541106520434431,0.398,-0.608,0.13335811913585585,1.006,-0.100377197265625,0.06029191000188939,0.251,-0.5,0.11709268184894446,0.751,-0.093838330078125,0.0662547904042284,0.369,-0.491,0.1148709251436558,0.86
2003.10.22.14.54,-0.09538544921875,0.08283817092205903,0.33,-0.623,0.12633505643476398,0.9530000000000001,-0.094926611328125,0.07171772898811155,0.559,-0.547,0.11897266152126346,1.106,-0.09496455078125,0.0908505765473059,0.249,-0.544,0.13142333569066988,0.793,-0.09478510742187499,0.07596277397623287,0.249,-0.444,0.12146834821936381,0.6930000000000001,-0.092537255859375,0.09213839835727931,0.43,-0.598,0.1305857119819321,1.028,-0.092465380859375,0.09583407888906276,0.474,-0.747,0.13316913055954213,1.221,-0.094479541015625,0.06090188680004059,0.315,-0.464,0.11240739960664568,0.779,-0.099120556640625,0.06670245532343264,0.337,-0.671,0.11947427461559193,1.008
2003.10.22.14.59,-0.09522729492187501,0.08215682143146492,0.31,-0.542,0.12576955516284288,0.8520000000000001,-0.09524257812499999,0.07064858389135108,0.574,-0.498,0.11858486873859583,1.072,-0.096304345703125,0.0905183807120955,0.266,-0.618,0.132166955961189,0.884,-0.0951904296875,0.07598307895390505,0.298,-0.64,0.12179756233770136,0.938,-0.09292314453125,0.09052565164060225,0.283,-0.537,0.12972896513320087,0.8200000000000001,-0.0927853515625,0.09549873158656104,0.503,-0.662,0.13315077618706828,1.165,-0.088630126953125,0.060162917330059476,0.295,-0.447,0.10712084776265834,0.742,-0.09321044921875,0.06553741363623017,0.337,-0.486,0.11394446204044978,0.823
2003.10.22.15.04,-0.0951837890625,0.08213447618760197,0.383,-0.574,0.12572201827407262,0.957,-0.09561738281250001,0.0705129420092977,0.461,-0.466,0.11880555074035366,0.927,-0.095300537109375,0.09136864215496891,0.303,-0.72,0.13202432026932812,1.023,-0.095156591796875,0.07671574739863404,0.256,-0.576,0.12222963168286209,0.832,-0.092194970703125,0.09282902958919584,0.344,-0.522,0.13083249350762172,0.866,-0.092144677734375,0.09570884149250554,0.325,-0.674,0.13285640358902304,0.9990000000000001,-0.06585927734375,0.06135467396577475,0.325,-0.552,0.09001022402864854,0.877,-0.090795458984375,0.06731824276863814,0.437,-0.496,0.11302902804873013,0.933
2003.10.22.15.09,-0.09436435546875,0.08250366977500087,0.361,-0.547,0.1253454710365516,0.908,-0.09428916015625,0.07178504955440956,0.615,-0.54,0.11850543895745883,1.155,-0.095085888671875,0.0900007795978133,0.281,-0.62,0.1309254236301505,0.901,-0.094635888671875,0.07626761445553155,0.205,-0.461,0.12154299831521816,0.666,-0.09227236328125,0.09164734410513092,0.378,-0.503,0.13005162323874028,0.881,-0.092772119140625,0.09595016902303145,0.388,-0.552,0.1334657297788111,0.9400000000000001,-0.09250932617187499,0.06065323932294357,0.276,-0.439,0.11062002924037141,0.7150000000000001,-0.091753515625,0.06597543700818988,0.405,-0.491,0.11301091061472228,0.896
